[I] 2009-01-12 16:29:14.156 (0x1E00):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2009-01-12 16:29:15.232 (0x1E00):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2009-01-12 16:29:23.796 (0x1E00):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:1 Callflow Name:Test Demo
[I] 2009-01-12 16:29:23.888 (0x1E00):ErrorCode[0]_Open Resource Record...,Project ID:1
[I] 2009-01-12 16:34:03.188 (0x1E00):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2009-01-12 16:34:03.360 (0x1E00):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:128 Callflow Name:大众主流程
[E] 2009-01-12 16:34:03.484 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.484 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.484 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.484 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.484 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.500 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.500 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.500 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.500 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.500 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.516 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.516 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.516 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.532 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.532 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.532 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.532 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.544 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.544 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.544 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.544 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.560 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.560 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.560 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.560 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.560 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.576 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.576 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.576 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.576 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.576 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.592 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.592 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.592 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.592 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.592 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.608 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.608 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.608 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.608 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.608 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.624 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.624 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.624 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.624 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.624 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.640 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.640 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.640 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.640 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.640 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.656 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.656 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.656 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.656 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.656 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.672 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.672 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.672 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.672 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.672 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.688 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.688 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.688 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.688 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.704 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.704 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.704 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.704 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.704 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.720 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.736 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.736 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.736 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.736 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.736 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.752 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.752 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.752 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.752 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.752 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.764 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.764 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.764 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.764 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.780 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.780 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.780 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.780 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.780 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.796 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.796 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.796 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.796 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.796 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[E] 2009-01-12 16:34:03.812 (0x1E00):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 128,使用 Null 无效
[I] 2009-01-12 16:40:14.984 (0x1E00):ErrorCode[0]_Callflow Closed!,Callflow ID:1 Callflow Name:Test Demo
[I] 2009-01-12 16:40:15.108 (0x1E00):ErrorCode[0]_Callflow Closed!,Callflow ID:128 Callflow Name:大众主流程
[I] 2009-01-12 16:40:15.124 (0x1E00):ErrorCode[0]_Visual IVR Editor Shutdown....
