[I] 2008-10-22 09:34:45.516 (0x1A90):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-10-22 09:34:47.876 (0x1A90):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-10-22 09:34:52.688 (0x1A90):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:1 Callflow Name:Test Demo
[I] 2008-10-22 09:34:52.752 (0x1A90):ErrorCode[0]_Open Resource Record...,Project ID:1
[I] 2008-10-22 09:35:31.436 (0x1A90):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-10-22 09:35:31.576 (0x1A90):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:10 Callflow Name:PCS_Demo
[I] 2008-10-22 09:35:51.752 (0x1A90):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-10-22 09:35:51.936 (0x1A90):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:14 Callflow Name:PCS_Demo
[E] 2008-10-22 09:35:51.936 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[I] 2008-10-22 09:35:51.936 (0x1A90):ErrorCode[0]_Open Resource Record...,Project ID:99
[E] 2008-10-22 09:35:51.936 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.936 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.952 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.952 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.952 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.952 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.952 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.968 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.968 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.968 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.968 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.968 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.984 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.984 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.984 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.984 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:51.984 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.000 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.000 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.000 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.000 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.000 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.032 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.032 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.032 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.032 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.032 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.092 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.092 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.092 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.092 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[E] 2008-10-22 09:35:52.092 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 14,使用 Null 无效
[I] 2008-10-22 09:36:25.920 (0x1A90):ErrorCode[0]_Callflow saved successful!,Callflow ID:14
[I] 2008-10-22 09:36:43.844 (0x1A90):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-10-22 09:36:44.016 (0x1A90):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:225 Callflow Name:NB Fotile
[E] 2008-10-22 09:36:44.016 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[I] 2008-10-22 09:36:44.032 (0x1A90):ErrorCode[0]_Open Resource Record...,Project ID:225
[E] 2008-10-22 09:36:44.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.048 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.064 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
[E] 2008-10-22 09:36:44.080 (0x1A90):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 225,使用 Null 无效
