[I] 2008-11-17 11:34:45.048 (0x11F8):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-17 11:34:46.312 (0x11F8):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-11-17 11:34:58.080 (0x11F8):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2008-11-17 11:34:58.640 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.640 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.640 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.656 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.656 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.656 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.672 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.672 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.672 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-17 11:34:58.672 (0x11F8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[I] 2008-11-17 12:44:34.812 (0x11F8):ErrorCode[0]_Update node info,Node ID:419
[I] 2008-11-17 13:02:44.764 (0x11F8):ErrorCode[0]_Callflow saved successful!,Callflow ID:108
[I] 2008-11-17 13:02:44.952 (0x11F8):ErrorCode[0]_Callflow Closed!,Callflow ID:108 Callflow Name:PowerDISA
[I] 2008-11-17 13:02:45.000 (0x11F8):ErrorCode[0]_Visual IVR Editor Shutdown....
